curr_meeting_date,curr_venue_name,curr_race_number,curr_tab_number,horse_name,meeting_date,venue,rail_position,race_number,race_name,condition_age,condition_jockey,condition_sex,condition_class,condition_weight,condition_group,race_record,starters,margin_1,margin_2,race_duration,sectional_distance,sectional_time,barrier,jockey,abnormal_finish,position_finish,position_1200m,position_800m,position_400m,position_settling,blinkers_on,favourite,dead_heat,margin,weight_carried,weight_adjustment,stewards_report,pg1_barrier,pg1_position,pg1_dead_heat,pg1_horse,pg1_jockey,pg1_country,pg1_weight,pg1_margin,pg2_barrier,pg2_position,pg2_dead_heat,pg2_horse,pg2_jockey,pg2_country,pg2_weight,pg2_margin,pg3_barrier,pg3_position,pg3_dead_heat,pg3_horse,pg3_jockey,pg3_country,pg3_weight,pg3_margin,dslr
21/05/2016,Rosehill,1,6,Virgilio,16/04/2016,Kembla Grange,+6m Entire Circuit,1,Kids Day Out Hcp,2yo,Apprentices Can Claim,,Open,Handicap,,,11,3.8,HN,56.2,600,32.76,10,A Gibbons,,3,,4,3,4,FALSE,FALSE,FALSE,4,56.5,,,11,1,FALSE,Evacuation,A Hyeronimus,AUS,56.5,3.8,5,2,FALSE,All In Rhythm,Peter Wells,AUS,58.5,3.8,4,4,FALSE,Lilac Lane,P King,AUS,54.5,4.8,
21/05/2016,Rosehill,1,6,Virgilio,4/05/2016,Warwick Farm,+5m 1000 To W/P + 3m Remainder,2,Pro-Ride Mdn Hcp,2yo,Apprentices Can Claim,,Maiden,Handicap,,,10,LH,0.8,64.09,600,34.38,8,J Ford,,2,,,1,1,FALSE,FALSE,FALSE,0.2,58,,,4,1,FALSE,Jericho,B Shinn,AUS,58,0.2,6,3,FALSE,Cadogan,B Avdulla,AUS,57.5,1,1,4,FALSE,Raise An Army,R Hutchings,AUS,56.5,3.8,18
21/05/2016,Rosehill,1,7,Foxlike,26/04/2016,Rosehill,Timing - Manual : Rail - Normal,10,Barrier Trial,2yo,,Colts & Geldings,Open Barrier Trial,Catch Weight,,,7,3,1-Feb,54.8,,,7,Peter Wells,,7,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/05/2016,Rosehill,1,7,Foxlike,9/05/2016,Rosehill,Timing - Manual : Rail - Normal,11,Barrier Trial,2yo,,Colts & Geldings,Barrier Trial Open,Catch Weight,,,6,1.3,Hf Hd,54.6,,,3,Peter Wells,,3,,,,,FALSE,FALSE,FALSE,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/05/2016,Rosehill,1,8,Chipanda,9/10/2015,Warwick Farm,,12,Barrier Trial,,,,Open Barrier Trial,Catch Weight,,,5,2.3,3,46.2,,,1,J B McDonald,,1,,,,,FALSE,FALSE,FALSE,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/05/2016,Rosehill,1,8,Chipanda,24/10/2015,Randwick,TRUE,2,Simplicity Funeral Pierro Plte,2yo,Apprentices Can Claim,,Open,Set Weight With Penalties,,,5,3,0.5,64.87,600,35.66,1,S Clipperton,,3,,,1,2,FALSE,TRUE,FALSE,3.5,54,,,3,1,FALSE,Star Turn,Tommy Berry,AUS,56,3,4,2,FALSE,Medaille,Tim Clark,AUS,54,3,2,4,FALSE,Zafina,W Costin,AUS,52.5,4.9,
21/05/2016,Rosehill,1,8,Chipanda,19/01/2016,Rosehill,Timing - Manual : Rail - Normal,7,Barrier Trial,,,,Barrier Trial Open,Catch Weight,,,9,Hf Nk,1,54.3,,,3,J B McDonald,,3,,,,,FALSE,FALSE,FALSE,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/05/2016,Rosehill,1,8,Chipanda,30/01/2016,Rosehill,TRUE,4,Widden Stakes,2yo,Apprentices Cannot Claim,Fillies,Open,Set Weight With Penalties,3,,11,2.3,HD,65.73,600,35.63,5,J B McDonald,,3,,,4,5,FALSE,FALSE,FALSE,2.5,54.5,,,7,1,FALSE,Honesty Prevails,J R Collett,AUS,54.5,2.3,3,2,FALSE,Smart Amelia,C Reith,AUS,54.5,2.3,1,4,FALSE,Nonpareil,S Clipperton,AUS,54.5,2.7,98
21/05/2016,Rosehill,1,8,Chipanda,29/04/2016,Warwick Farm,Timing - Manual : Rail - Normal,7,Barrier Trial,2yo,,Fillies,Barrier Trial Open,Catch Weight,,,8,Hf Nk,Sh1/2Hd,47.6,,,3,J B McDonald,,3,,,,,FALSE,FALSE,FALSE,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/05/2016,Rosehill,1,8,Chipanda,9/05/2016,Rosehill,Timing - Manual : Rail - Normal,6,Barrier Trial,2yo,,Fillies,Open Barrier Trial,Catch Weight,,,8,1,Hf Hd,53.6,,,5,S Clipperton,,5,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
