meeting_date,meeting_is_night,meeting_is_trial,meeting_region,venue_name,venue_state,venue_country,club_name,race_number,race_name,race_start_time,race_division,race_distance,race_distance_is_approx,race_min_hcp_weight,track_name,track_code_3,track_code_5,rail_position,condition_jockey,condition_sex,condition_age,condition_class,condition_weight,condition_group,prize_1st,prize_2nd,prize_3rd,race_record,race_starters,race_margin_1,race_margin_2,race_duration,race_sectional_distance,race_sectional_time,race_going,horse_name,horse_foaled_on,horse_country,horse_sex,horse_colour,horse_location,sire_name,sire_country,dam_name,dam_country,sire_of_dam_name,sire_of_dam_country,jockey_name,trainer_name,owner_name,tab_no,earnings_to_date,emergency,gear_changes,barrier_no,abnormal_finish,position_finish,position_settling,position_1200m,position_800m,position_400m,blinkers_on,favourite,dead_heat,margin,margin_official,weight_carried,weight_adjustment,stewards_report,scratched,apn_win_opening,apn_win_mid,apn_win_starting,tab_nsw_win_final,tab_nsw_plc_final
2/02/2017,FALSE,FALSE,P,Albany,WA,AUS,Albany R.C.,6,Carsmart Albany/Natrad Hcp-C2,16:15,,1512,FALSE,54,Albany,ALN,ALBAN,Out 3 Metres. Cutaway In The Straight,Apprentices Can Claim,,2yo+,Class 2,Handicap,,9800,2660,1260,,11,NS,0.5,91.18,,,Good 3,Honour Rock,7/09/2009,AUS,G,b,Wagin,Redoutable,AUS,Rock On Layla,AUS,Pricelessly,USA,S Meeres,A J Smith,"M J Smith, R Giblett, K M Leamy",4,35465,FALSE,,10,,11,1,,2,3,FALSE,FALSE,FALSE,8,,58,,,FALSE,,,31,54.8,9.2
2/02/2017,FALSE,FALSE,P,Albany,WA,AUS,Albany R.C.,6,Carsmart Albany/Natrad Hcp-C2,16:15,,1512,FALSE,54,Albany,ALN,ALBAN,Out 3 Metres. Cutaway In The Straight,Apprentices Can Claim,,2yo+,Class 2,Handicap,,9800,2660,1260,,11,NS,0.5,91.18,,,Good 3,Angel's Force,22/09/2011,AUS,M,b/br,Albany,Haradasun,AUS,Angel's Breath,AUS,Tale Of The Cat,USA,Casey Hunter,J E Askevold,"Ms D A Riordan, R M Waddell, D M Beaver, P Williams, B M Williams, Ms M Almond, D A Ashby, D N Carter, A J Parsons, T P Riordan",11,9075,FALSE,,,,,,,,,,,,,,,,,TRUE,,,,,
2/02/2017,FALSE,FALSE,P,Albany,WA,AUS,Albany R.C.,6,Carsmart Albany/Natrad Hcp-C2,16:15,,1512,FALSE,54,Albany,ALN,ALBAN,Out 3 Metres. Cutaway In The Straight,Apprentices Can Claim,,2yo+,Class 2,Handicap,,9800,2660,1260,,11,NS,0.5,91.18,,,Good 3,Lion Cruiser,24/09/2009,AUS,G,ch,Albany,Seinne,CHI,Scenic Cruise,AUS,Don'T Say Halo,USA,,D M Attwell,"R R Attwell (Snr.), D M Attwell",13,25262,FALSE,,,,,,,,,,,,,,,,,TRUE,,,,,
2/02/2017,FALSE,FALSE,P,Albany,WA,AUS,Albany R.C.,8,Manley Automotive (Bm58+),17:15,,1612,FALSE,54,Albany,ALN,ALBAN,Out 3 Metres. Cutaway In The Straight,Apprentices Can Claim,,2yo+,Bm58+,Handicap,,9800,2660,1260,,15,HD,NS,97.01,,,Good 3,By Decree,9/08/2012,AUS,M,b,Lark Hill,Universal Ruler,AUS,Elusive Choice,AUS,Choisir,AUS,M Autier,D T Mcauliffe,"Impressive Racing Pty Ltd(Mgr: K S Berry), G R Hansford, J D Mc Intosh, J D Anthonisz, S J Trigwell, Sheppard Group Pty Ltd(Mgr: K A Sheppard), R K Mason, Mrs D A Palmer, K Palmer, J Jaworski, D B McArthur, J Smith",13,28210,FALSE,,5,,1,6,,5,6,TRUE,FALSE,FALSE,0.2,,54,,,FALSE,,,6,5.5,1.9
2/02/2017,FALSE,FALSE,P,Albany,WA,AUS,Albany R.C.,8,Manley Automotive (Bm58+),17:15,,1612,FALSE,54,Albany,ALN,ALBAN,Out 3 Metres. Cutaway In The Straight,Apprentices Can Claim,,2yo+,Bm58+,Handicap,,9800,2660,1260,,15,HD,NS,97.01,,,Good 3,Storm Ending,5/09/2007,AUS,M,b,Tenterden,Stormy's Son,AUS,En Versage,AUS,Don'T Say Halo,USA,L Staples,P Parsons,P J Hills,10,43480,FALSE,,15,,2,15,,15,14,FALSE,FALSE,FALSE,0.2,HD,55.5,,,FALSE,,,16,18.5,5.3
2/02/2017,FALSE,FALSE,P,Albany,WA,AUS,Albany R.C.,8,Manley Automotive (Bm58+),17:15,,1612,FALSE,54,Albany,ALN,ALBAN,Out 3 Metres. Cutaway In The Straight,Apprentices Can Claim,,2yo+,Bm58+,Handicap,,9800,2660,1260,,15,HD,NS,97.01,,,Good 3,Prince Friar,30/09/2011,AUS,G,b,Albany,Blackfriars,AUS,Princess O'Lara,AUS,Langfuhr,CAN,Casey Hunter,P B Hunter,"Mrs S J Pearce, R M Viney, R Barrett-Lennard, G J Nelson, H J Regan, D J Regan, R M Cronan, Ms C Coates, M A Didco, S J Orrock, P R Brace",9,58557,FALSE,,8,,3,1,,3,3,FALSE,FALSE,FALSE,0.3,NS,55,-1.5,,FALSE,,,17,21.9,9.7
2/02/2017,FALSE,FALSE,P,Albany,WA,AUS,Albany R.C.,8,Manley Automotive (Bm58+),17:15,,1612,FALSE,54,Albany,ALN,ALBAN,Out 3 Metres. Cutaway In The Straight,Apprentices Can Claim,,2yo+,Bm58+,Handicap,,9800,2660,1260,,15,HD,NS,97.01,,,Good 3,Desired View,16/09/2011,AUS,M,br,Broome,Oratorio,AUS,Curragh's View,AUS,Scenic,IRE,S Meeres,A J Smith,"W Garas, G Garas, R Falcone, R Abrams, A Oliveira, Mrs J Fyans",5,38055,FALSE,,10,,4,2,,1,1,TRUE,FALSE,FALSE,0.5,,57.5,,,FALSE,,,12,12.8,4.6
2/02/2017,FALSE,FALSE,P,Albany,WA,AUS,Albany R.C.,8,Manley Automotive (Bm58+),17:15,,1612,FALSE,54,Albany,ALN,ALBAN,Out 3 Metres. Cutaway In The Straight,Apprentices Can Claim,,2yo+,Bm58+,Handicap,,9800,2660,1260,,15,HD,NS,97.01,,,Good 3,Cosmah Domination,16/11/2011,AUS,M,b,Albany,Oratorio,AUS,Mia Myth,AUS,Don'T Say Halo,USA,Mitchell Pateman,M P Hunter,"G R Williamson, Mrs J V Williamson, L N Piper, Mrs S J Piper",6,39830,FALSE,,7,,5,13,,11,10,TRUE,FALSE,FALSE,0.6,,56.5,,,FALSE,,,8,9.2,2.9
2/02/2017,FALSE,FALSE,P,Albany,WA,AUS,Albany R.C.,8,Manley Automotive (Bm58+),17:15,,1612,FALSE,54,Albany,ALN,ALBAN,Out 3 Metres. Cutaway In The Straight,Apprentices Can Claim,,2yo+,Bm58+,Handicap,,9800,2660,1260,,15,HD,NS,97.01,,,Good 3,Canna Lily,29/11/2010,AUS,M,b,Albany,Blackfriars,AUS,Satin Special,AUS,Warring Nations,USA,J Whiting,N R Lee,"N R Lee, Mrs D J Lee",4,65230,FALSE,,4,,6,4,,6,5,FALSE,FALSE,FALSE,1.8,,58,,,FALSE,,,5.5,6.6,2.5
2/02/2017,FALSE,FALSE,P,Albany,WA,AUS,Albany R.C.,8,Manley Automotive (Bm58+),17:15,,1612,FALSE,54,Albany,ALN,ALBAN,Out 3 Metres. Cutaway In The Straight,Apprentices Can Claim,,2yo+,Bm58+,Handicap,,9800,2660,1260,,15,HD,NS,97.01,,,Good 3,War Ksar,12/09/2011,AUS,G,br,Albany,War Pass,USA,Anasar,AUS,Anabaa,USA,S McGruddy,S J Wolfe,"Mrs M Keay, P Smith, Mrs J E Smith, F F Fairthorne (Jnr.), I J Tracy, G R Morgan, C L Davies",2,64260,FALSE,,12,,7,5,,4,4,FALSE,TRUE,FALSE,2.3,,59,,,FALSE,,,3.5,3.9,1.7
